date,description
01-May-2027,Tag der Arbeit
06-May-2027,Christi Himmelfahrt
17-May-2027,Pfingstmontag
03-Oct-2027,Tag der Deutschen Einheit
31-Oct-2027,Reformationstag
17-Nov-2027,Buß- und Bettag
25-Dec-2027,1. Weihnachtsfeiertag
26-Dec-2027,2. Weihnachtsfeiertag
01-Jan-2028,Neujahr
14-Apr-2028,Karfreitag
17-Apr-2028,Ostermontag
01-May-2028,Tag der Arbeit
25-May-2028,Christi Himmelfahrt
05-Jun-2028,Pfingstmontag
03-Oct-2028,Tag der Deutschen Einheit
31-Oct-2028,Reformationstag
22-Nov-2028,Buß- und Bettag
25-Dec-2028,1. Weihnachtsfeiertag
26-Dec-2028,2. Weihnachtsfeiertag
01-Jan-2029,Neujahr
30-Mar-2029,Karfreitag
02-Apr-2029,Ostermontag
01-May-2029,Tag der Arbeit
10-May-2029,Christi Himmelfahrt
21-May-2029,Pfingstmontag
03-Oct-2029,Tag der Deutschen Einheit
31-Oct-2029,Reformationstag
21-Nov-2029,Buß- und Bettag
25-Dec-2029,1. Weihnachtsfeiertag
26-Dec-2029,2. Weihnachtsfeiertag
01-Jan-2030,Neujahr
19-Apr-2030,Karfreitag
22-Apr-2030,Ostermontag
01-May-2030,Tag der Arbeit
30-May-2030,Christi Himmelfahrt
10-Jun-2030,Pfingstmontag
03-Oct-2030,Tag der Deutschen Einheit
31-Oct-2030,Reformationstag
20-Nov-2030,Buß- und Bettag
25-Dec-2030,1. Weihnachtsfeiertag
26-Dec-2030,2. Weihnachtsfeiertag
01-Jan-2031,Neujahr
11-Apr-2031,Karfreitag
14-Apr-2031,Ostermontag
01-May-2031,Tag der Arbeit
22-May-2031,Christi Himmelfahrt
02-Jun-2031,Pfingstmontag
03-Oct-2031,Tag der Deutschen Einheit
31-Oct-2031,Reformationstag
19-Nov-2031,Buß- und Bettag
25-Dec-2031,1. Weihnachtsfeiertag
26-Dec-2031,2. Weihnachtsfeiertag
01-Jan-2032,Neujahr
26-Mar-2032,Karfreitag
29-Mar-2032,Ostermontag
01-May-2032,Tag der Arbeit
06-May-2032,Christi Himmelfahrt
17-May-2032,Pfingstmontag
03-Oct-2032,Tag der Deutschen Einheit
31-Oct-2032,Reformationstag
17-Nov-2032,Buß- und Bettag
25-Dec-2032,1. Weihnachtsfeiertag
26-Dec-2032,2. Weihnachtsfeiertag
01-Jan-2033,Neujahr
15-Apr-2033,Karfreitag
18-Apr-2033,Ostermontag
01-May-2033,Tag der Arbeit
26-May-2033,Christi Himmelfahrt
06-Jun-2033,Pfingstmontag
03-Oct-2033,Tag der Deutschen Einheit
31-Oct-2033,Reformationstag
16-Nov-2033,Buß- und Bettag
25-Dec-2033,1. Weihnachtsfeiertag
26-Dec-2033,2. Weihnachtsfeiertag
01-Jan-2034,Neujahr
07-Apr-2034,Karfreitag
10-Apr-2034,Ostermontag
01-May-2034,Tag der Arbeit
18-May-2034,Christi Himmelfahrt
29-May-2034,Pfingstmontag
03-Oct-2034,Tag der Deutschen Einheit
31-Oct-2034,Reformationstag
22-Nov-2034,Buß- und Bettag
25-Dec-2034,1. Weihnachtsfeiertag
26-Dec-2034,2. Weihnachtsfeiertag
01-Jan-2035,Neujahr
23-Mar-2035,Karfreitag
26-Mar-2035,Ostermontag
01-May-2035,Tag der Arbeit
03-May-2035,Christi Himmelfahrt
14-May-2035,Pfingstmontag
03-Oct-2035,Tag der Deutschen Einheit
31-Oct-2035,Reformationstag
21-Nov-2035,Buß- und Bettag
